date,ticker,close,vol_5d,vol_20d,vol_60d,drawdown_60d,de_ratio,prev_return_5d,prev_return_20d,prev_return_60d,future_return_5d,future_return_20d,future_return_60d,label_5d,label_20d,label_60d,sentiment_score,decayed_sentiment
2023-11-14,AAPL,185.86639404296875,0.0127602790439685,0.0129834486472415,0.0135783517137897,-0.0106117107404594,0.0304595097608417,0.032267741791965,0.0594803606373752,0.0673734973036002,0.0170720814649771,0.056124568383064,-0.0002731316302354,0,0,0,-0.109,-0.109
2023-11-15,AAPL,186.4315948486328,0.0128540551059124,0.0127524850771424,0.0135520052703615,-0.007603081552362,0.0304595097608417,0.0293492199453444,0.0706192715799387,0.0622224409228047,0.0175522453341514,0.0537206597391173,-0.0145411095335636,0,0,0,-0.109,-0.19619999999999999
2023-11-16,AAPL,188.1173248291016,0.011954541276447,0.0127370100289111,0.0133157946038008,0.0,0.0304595097608417,0.041389825454567,0.0826395333020062,0.0488071112066943,0.0013705689203442,0.0414317866380196,-0.028069287178436,0,0,0,-0.109,-0.26596
2023-11-17,AAPL,188.09751892089844,0.0087501252483067,0.0120025020401782,0.0128347574007951,-0.0001052848706046,0.0304595097608417,0.0176504391476084,0.0986806999843581,0.0768789206924329,0.0005270476352257,0.0326848221881457,-0.0294976320172393,0,0,0,-0.109,-0.321768
2023-11-20,AAPL,189.8427276611328,0.0056688232307392,0.0120019970804658,0.0127917067031725,0.0,0.0304595097608417,0.035984794549726,0.1081052363633903,0.0733005896214613,-0.0054845331359085,0.0286758874489181,-0.0465257778121072,0,0,0,0.0,-0.2574144
2023-11-21,AAPL,189.03952026367188,0.0058530571990054,0.0121756710366224,0.0127716612014235,-0.0042309094867971,0.0304595097608417,0.0170720814649771,0.1006178935402264,0.0593882448713634,-0.0066617730363985,0.0219787173899461,-0.0464139091027818,0,0,0,0.0,-0.20593152
2023-11-22,AAPL,189.70388793945312,0.0058495229092629,0.0113942092957299,0.0124825552556125,-0.000731340743942,0.0304595097608417,0.0175522453341514,0.1195910609466013,0.0404195408940819,-0.0071088251906263,0.0176153760398003,-0.0457755898804691,0,0,0,0.0,-0.16474521600000003
2023-11-24,AAPL,188.37515258789065,0.0064223450523377,0.0094404059352405,0.0122831824463221,-0.0077304782296522,0.0304595097608417,0.0013705689203442,0.1397944329586045,0.0136972893551041,0.0066852679963653,0.0191082410435536,-0.028239854442408,0,0,0,0.0,-0.13179617280000003
2023-11-27,AAPL,188.1966552734375,0.0064463212226673,0.0095821214962789,0.0122836834669499,-0.0086707160604726,0.0304595097608417,0.0005270476352257,0.1297113110484982,0.0115508152790588,-0.0018968422663969,0.0171769019664567,-0.0370783002217671,0,0,0,0.2312,0.12576306175999996
2023-11-28,AAPL,188.8015289306641,0.0045986349371225,0.0094904536765273,0.0122429350988608,-0.0054845331359085,0.0304595097608417,-0.0054845331359085,0.1195656157105677,0.0062853712244261,0.0158614151102975,0.0144434421965302,-0.0473152790238526,0,0,0,0.2312,0.331810449408
